Type,Mean
Population,65.47
Sample,65.44
Sample,65.49
Sample,65.47
Sample,65.39
Sample,65.46
Sample,65.5
Sample,65.46
Sample,65.48
Sample,65.47
Sample,65.48
Sample,65.5
Sample,65.49
Sample,65.5
Sample,65.51
Sample,65.43
Sample,65.51
Sample,65.46
Sample,65.51
Sample,65.45
Sample,65.43
Sample,65.44
Sample,65.55
Sample,65.46
Sample,65.52
Sample,65.47
Sample,65.54
Sample,65.44
Sample,65.47
Sample,65.47
Sample,65.46
Sample,65.47
Sample,65.49
Sample,65.43
Sample,65.51
Sample,65.44
Sample,65.47
Sample,65.46
Sample,65.52
Sample,65.51
Sample,65.5
Sample,65.51
Sample,65.48
Sample,65.4
Sample,65.39
Sample,65.45
Sample,65.42
Sample,65.48
Sample,65.52
Sample,65.49